REGION;2010;2011;2012;2013;2014;2015;2016;2017;2018
Белгородская область;15408,748;28338,293;21086,699;14995,017;12242,077;12452,138;13226,356;27218,649;36572,399
Брянская область;4166,911;6288,174;7154,575;4695,046;4400,133;3330,069;5398,585;6056,629;6597,739
Владимирская область;6870,647;8962,506;9364,828;8284,071;10353,707;11672,206;14355,035;14306,549;18725,654
Воронежская область;9752,802;13060,314;15717,071;15405,772;15042,506;16939,072;19470,225;21266,761;26887,467
Ивановская область;2486,432;3011,127;3314,468;3234,332;3035,882;2620,288;4334,52;4675,989;5203,383
Калужская область;7312,478;7307,429;12848,894;10437,059;8398,792;7464,989;9386,906;16127,95;19613,499
Костромская область;2428,152;2732,349;3413,935;3720,311;4245,964;3988,372;5785,939;7213,846;7267,999
Курская область;7932,642;10578,687;11858,561;12880,161;11147,576;12773,969;11335,029;16521,709;19429,59
Липецкая область;10641,369;12876,793;10687,067;10658,962;15112,131;21511,264;21596,899;24413,288;36122,202
Московская область;80552,952;97654,989;116197,883;110841,447;115075,016;122340,155;146501,361;173013,643;188801,886
Орловская область;2899,639;3443,613;3749,13;3121,694;3818,202;3094,749;4109,808;4533,153;5576,917
Рязанская область;5833,229;6262,925;7524,155;8104,723;8458,367;8412,712;8380,793;12093,217;11684,199
Смоленская область;5137,308;6574,052;7431,588;6541,255;6051,305;8512,923;10065,505;10145,058;11492,954
Тамбовская область;3495,571;4414,209;4216,328;3533,558;4433,232;6679,864;5032,985;5403,472;5639,954
Тверская область;6612,391;6449,664;9030,809;8463,351;8975,119;11256,827;9684,513;11568,62;15348,397
Тульская область;6777,732;8903,802;11472,187;12168,008;17158,387;18880,445;17984,15;19701,074;25667,858
Ярославская область;8326,931;9466,768;12172,507;10552,255;11706,406;11039,215;13843,395;16328,777;19004,505
г.Москва;553843,551;727636,197;748376,305;670429,441;691321,915;709745,87;812763,101;1061321,018;1224520,301
Республика Карелия;4404,296;6772,49;5670,63;2277,898;1975,894;3383,248;4599,078;4336,564;8715,334
Республика Коми;13304,016;19637,005;17567,682;13702,477;17358,671;17637,791;17741,075;24859,501;32867,808
Архангельская область;5075,174;5756,386;6079,773;5443,237;6953,507;10883,988;9877,847;11723,582;14817,865
Вологодская область;12052,809;13701,654;12600,004;6826,132;10278,997;9036,573;14690,743;23487,062;31934,246
Калининградская область;5806,414;6473,933;7099,468;6014,433;10081,332;7405,681;7907,184;9542,673;10870,528
Ленинградская область;22409,555;25328,326;29825,709;31547,74;50918,602;58696,403;58631,257;55601,193;78153,562
Мурманская область;15693,476;17464,021;11723,9;11878,772;12460,883;19185,819;27982,42;27244,392;22702,876
Новгородская область;4560,282;7263,507;7664,773;5680,117;6154,994;6744,856;8862,867;7484,528;8668,465
Псковская область;2260,828;2671,319;3230,633;2758,28;3170,105;2766,141;3046,736;3270,705;4110,355
г.Санкт-Петербург;108479,291;130211,729;111343,771;126911,504;145253,276;156811,041;171935,464;202877,532;228248,045
Ненецкий АО;5252,456;2269,447;9650,15;7963,31;7830,616;8146,482;3844,336;8021,899;7589,937
Республика Дагестан;3934,33;3840,671;3697,313;3132,807;3169,521;2432,112;3896,842;4501,189;5144,191
Республика Ингушетия;217,758;796,33;437,484;231,749;242,595;194,57;377,327;340,811;350,785
Кабардино-Балкарская Республика;1061,915;1502,831;1177,102;1529,028;1342,803;990,136;1584,876;1884,343;1669,383
Карачаево-Черкесская Республика;941,145;1062,212;1024,865;1147,077;1032,96;1069,226;1486,332;1776,354;1540,048
Республика Северная Осетия-Алания;853,42;1173,743;1153,996;1135,295;1275,569;974,223;1347,744;1695,755;1628,976
Чеченская Республика;891,944;1607,485;694,694;513,339;477,246;264,161;689,379;864,195;831,413
Ставропольский край;11745,507;12460,307;14191,173;12985,779;12812,714;10985,839;12448,527;17494,785;19195,029
Республика Адыгея;892,998;1215,631;1519,076;1527,085;1609,544;1505,242;1733,957;1978,631;2603,771
Республика Калмыкия;362,354;488,85;539,888;611,942;640,553;483,687;606,315;2037,137;2404,221
Краснодарский край;30246,164;39756,726;46760,287;42032,22;48333,534;44554,839;53234,225;62539,064;71915,273
Астраханская область;4565,203;5164,639;9213,748;9897,449;9865,054;8387,965;6411,083;15821,294;29147,376
Волгоградская область;19297,443;18044,793;18565,131;16231,733;19404,934;21179,16;21024,185;21718,886;25790,251
Ростовская область;16980,408;20545,26;26300,21;23952,849;26161,698;28162,662;38923,174;39378,36;51800,084
Республика Башкортостан;29668,488;34163,496;36350,485;37612,312;36819,05;40619,322;44784,838;52396,545;82525,188
Республика Марий Эл;1939,618;2428,556;2731,187;2063,126;2720,812;3199,333;3581,7;6084,331;3618,604
Республика Мордовия;2312,067;2646,017;2895,228;2597,701;8847,585;2414,204;3118,603;3716,672;3990,655
Республика Татарстан;43868,099;56411,556;68338,028;59900,413;67570,084;83611,97;83119,075;102290,103;128717,755
Удмуртская Республика;10429,484;13644,797;15493,311;15273,896;15897,469;16538,263;23648,026;23981,963;23466,629
Чувашская Республика;4590,688;5442,424;5622,454;5657,542;5423,933;6013,731;8022,275;8414,349;10191,123
Кировская область;4354,431;6922,175;6358,799;5471,702;5324,812;7873,332;6490,437;7213,075;7777,96
Нижегородская область;27150,163;28332,711;25955,625;26033,446;26158,547;31638,998;38143,775;41932,682;48196,549
Оренбургская область;18942,671;25411,087;27324,759;23871,993;30431,958;29167,527;25545,186;27875,66;40183,013
Пензенская область;3972,373;4779,983;5273,279;4663,701;4816,783;3778,484;6710,252;7450,055;7574,908
Пермский край;28942,925;40338,629;41949,015;36720,711;32251,961;35818,923;38830,293;47358,513;55210,84
Самарская область;28773,073;39678,029;49457,601;44325,173;39417,756;39637,267;46822,056;53401,11;64807,959
Саратовская область;12268,856;15345,602;17106,12;13189,746;14178,287;14249,539;17292,7;20861,775;23645,389
Ульяновская область;5770,13;6523,436;7573,725;7231,015;6786,349;8178,553;11503,16;10600,569;13737,602
Курганская область;2870,096;3226,467;3928,944;2860,535;3733,044;2498,913;4400,149;4856,011;4513,015
Свердловская область;40348,788;52435,125;61063,591;51282,06;49273,82;51406,067;62587,533;82544,981;102213,038
Тюменская область (без Ханты-Мансийского авт.округа-Югра и Ямало-Ненецкого авт.округа);47721,683;70288,897;67849,099;34583,728;49543,151;38700,484;35422,878;54309,484;69522,926
Челябинская область;20926,827;23060,888;21354,451;21257,964;26207,76;36506,311;40651,505;52183,175;64577,341
Ханты-Мансийский автономный округ-Югра;84763,677;125995,787;119399,202;88388,174;162194,836;173069,211;109060,996;81699,243;215684,25
Ямало-Ненецкий автономный округ;54115,017;73993,558;69713,565;43026,593;58118,463;45404,247;58814,891;87301,036;133248,242
Республика Алтай;1142,979;583,672;560,289;494,379;580,304;751,335;823,789;1058,171;1253,873
Республика Бурятия;3649,782;6232,113;5641,6;4982,727;3340,046;8248,219;6725,331;5862,049;7655,981
Республика Тыва;207,194;304,183;233,378;253,361;305,401;198,073;401,729;725,728;499,897
Республика Хакасия;3504,181;4407,453;4600,492;3349,654;2980,334;3973,976;4442,024;5986,966;6774,58
Алтайский край;8720,642;9831,969;9617,008;8883,052;9593,523;8882,369;13767,994;13537,198;15835,949
Красноярский край;84547,568;82057,719;60912,411;54397,814;56159,295;75215,548;79929,083;90744,785;118717,316
Иркутская область;19406,527;33416,06;43411,955;32813,521;32725,623;32135,084;46798,465;56023,515;73396,581
Кемеровская область;24632,721;40461,485;27619,11;16691,967;20807,961;24882,467;28380,942;58809,483;78350,5
Новосибирская область;17519,267;21170,757;27965,062;23991,139;23276,812;23172,209;32864,219;37938,435;49892,282
Омская область;9688,129;11448,073;12961,734;12542,565;14900,949;10011,507;14391,929;17783,497;16358,973
Томская область;8447,693;10975,783;12831,832;11332,212;13250,651;16462,901;19282,037;13294,088;19665,499
Забайкальский край;4581,552;5615,858;4995,044;4007,299;3607,905;4164,742;6468,622;8793,036;8229,046
Республика Саха (Якутия);15748,697;25715,559;28943,967;22631,532;35246,365;35553,053;48534,41;34487,532;60138,873
Приморский край;12840,184;13449,65;15917,246;13425,494;14952,648;16952,689;19929,98;23188,671;27229,004
Хабаровский край;11320,082;13600,46;16055,82;11945,195;10352,586;9966,847;16223,759;17955,634;18321,347
Амурская область;8629,425;8971,423;10299,927;8622,203;7750,205;8874,466;11034,561;11438,905;10807,537
Камчатский край;2133,986;2399,131;2842,793;1777,869;2375,754;2694,98;3628,477;4219,489;3868,153
Магаданская область;2136,517;3233,132;4405,604;3425,024;3429,907;5884,29;8583,961;5410,114;6486,839
Сахалинская область;22815,028;26201,935;36790,237;32626,97;37574,879;51277,903;22881,737;21823,073;13801,296
Еврейская автономная область;665,741;657,119;875,575;1158,86;1038,928;704,056;1032,292;1172,145;1078,28
Чукотский автономный округ;4382,087;7493,691;5517,314;2182,519;4390,22;8237,137;9236,788;7828,262;6229,392
